title,位置,经纬度
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
新德路365弄小区,上海市浦东新区新德路365弄小区,"121.697708,31.197418"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
水上新村(浦东),上海市奉贤区水上新村,"121.463980,30.919830"
河滨小区,浙江省嘉兴市海盐县河滨小区,"120.937080,30.509123"
河滨小区,浙江省嘉兴市海盐县河滨小区,"120.937080,30.509123"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
沪东新村,上海市浦东新区沪东新村,"121.584488,31.262302"
西泥路小区,上海市浦东新区西泥路临河小区,"121.689185,31.193316"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
沪东新村,上海市浦东新区沪东新村,"121.584488,31.262302"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
沪东新村,上海市浦东新区沪东新村,"121.584488,31.262302"
东都小区,山东省青岛市胶州市东都花园,"120.040619,36.294693"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
禹洲金桥国际,上海市浦东新区禹洲金桥国际,"121.579338,31.255526"
香楠小区,上海市浦东新区香楠小区,"121.611183,31.199057"
丹桂佳苑,湖南省岳阳市岳阳楼区怡禾丹桂佳苑,"113.134895,29.378847"
金桥中环大厦,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
爱家新城,上海市浦东新区爱家新城,"121.752354,30.974216"
金桥中环大厦,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
蓝色城邦(公寓),上海市浦东新区蓝色城邦,"121.811394,30.900974"
黄楼花苑,上海市浦东新区黄楼花苑,"121.675102,31.166111"
丹桂佳苑,湖南省岳阳市岳阳楼区怡禾丹桂佳苑,"113.134895,29.378847"
龙源星城,上海市浦东新区龙源星城,"121.783920,31.046459"
远东小区,陕西省西安市莲湖区远东家属院,"108.862411,34.269459"
惠益新苑南苑,上海市浦东新区惠益新苑,"121.739397,31.061307"
绿地蓝海庭,上海市闵行区绿地蓝海,"121.412231,31.096182"
汇金星城,上海市浦东新区汇金星城,"121.747238,30.967936"
盛大天地青春里(一期),上海市浦东新区盛大天地青春里,"121.603310,31.173262"
展想悦廷,上海市浦东新区展想悦廷,"121.625877,31.210716"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
绿地蓝海庭,上海市闵行区绿地蓝海,"121.412231,31.096182"
中惠广场,上海市浦东新区中惠广场,"121.609695,31.253231"
绿地蓝海庭,上海市闵行区绿地蓝海,"121.412231,31.096182"
明祥苑,福建省泉州市晋江市明祥苑,"118.601349,24.574100"
天环苑,上海市浦东新区天环苑,"121.738075,31.170977"
金桥中环大厦,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
绿地蓝海庭,上海市闵行区绿地蓝海,"121.412231,31.096182"
丹桂佳苑,湖南省岳阳市岳阳楼区怡禾丹桂佳苑,"113.134895,29.378847"
城东大楼,青海省西宁市城东区城东,"101.807932,36.603364"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
西北新村,贵州省贵阳市云岩区西北新村,"106.706787,26.588202"
供销三村,上海市浦东新区供销三村,"121.763748,31.046043"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
悦天地,上海市浦东新区悦天地,"121.672408,31.272392"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
西北新村,贵州省贵阳市云岩区西北新村,"106.706787,26.588202"
海鑫苑,内蒙古自治区呼和浩特市新城区海鑫苑,"111.710297,40.843559"
印象生活广场,上海市浦东新区印象生活广场,"121.593201,31.115139"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
听潮六村,上海市浦东新区听潮六村,"121.743423,31.045002"
绿地峰汇,江苏省无锡市滨湖区绿地峰汇,"120.382652,31.500687"
听潮六村,上海市浦东新区听潮六村,"121.743423,31.045002"
禹洲商业广场,福建省泉州市惠安县禹洲商业广场,"118.774129,25.005283"
公益路东苑,福建省福州市鼓楼区公益路东苑(西门),"119.300598,26.095394"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
印象生活广场,上海市浦东新区印象生活广场,"121.593201,31.115139"
西南新村,浙江省温州市苍南县西南新村,"120.552017,27.571238"
西南新村,浙江省温州市苍南县西南新村,"120.552017,27.571238"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
卫星东路50弄,上海市浦东新区卫星东路50弄,"121.761649,31.043306"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
人民新村,江苏省扬州市江都区人民新村,"119.602997,32.393250"
南粮新村,上海市浦东新区南粮新村,"121.761162,31.048147"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
西门新村,江苏省苏州市吴江区西门新村,"120.641212,31.157980"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
惠北新村,上海市浦东新区汇北新村,"121.757912,31.050262"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
绿地东海岸时尚广场,上海市浦东新区绿地东海岸时尚广场,"121.609784,31.102415"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
东升家园(三期),上海市浦东新区东升家园,"121.604713,31.020880"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
绿地东岸涟城,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
云帆名苑,上海市浦东新区云帆名苑,"121.818558,30.899387"
金桥中环大厦,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
丽都华庭,上海市浦东新区丽都华庭,"121.824844,30.898340"
金桥中环大厦,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
艺泰安邦,山东省泰安市,"117.086963,36.201784"
碧云青年汇(二期),上海市浦东新区碧云青年汇,"121.600960,31.252356"
宜浩佳园,上海市浦东新区宜浩佳园,"121.882065,30.888676"
云帆名苑,上海市浦东新区云帆名苑,"121.818558,30.899387"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
宜浩佳园,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,上海市浦东新区宜浩佳园,"121.882065,30.888676"
云帆雅苑,上海市浦东新区云帆雅苑,"121.814583,30.897663"
万祥馨苑,上海市浦东新区万祥馨苑,"121.817528,30.967752"
云帆佳苑,上海市浦东新区云帆佳苑,"121.818573,30.897730"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
云帆名苑,上海市浦东新区云帆名苑,"121.818558,30.899387"
云帆名苑,上海市浦东新区云帆名苑,"121.818558,30.899387"
金桥中环大厦,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
云帆花苑,浙江省金华市东阳市云帆花园,"120.235519,29.267752"
云帆雅苑,上海市浦东新区云帆雅苑,"121.814583,30.897663"
丹桂佳苑,湖南省岳阳市岳阳楼区怡禾丹桂佳苑,"113.134895,29.378847"
海芦镜湖苑,安徽省芜湖市镜湖区,"118.385133,31.340560"
云锦丽苑,上海市浦东新区云锦丽苑,"121.826935,30.899395"
蓝色城邦(公寓),上海市浦东新区蓝色城邦,"121.811394,30.900974"
凯德新视界(一期),上海市浦东新区凯德新视界,"121.808937,30.961933"
云树仁居,上海市浦东新区云树仁居,"121.801361,30.898569"
荷风景庭,上海市浦东新区荷风景庭,"121.807457,30.911144"
听潮六村,上海市浦东新区听潮六村,"121.743423,31.045002"
云锦丽苑,上海市浦东新区云锦丽苑,"121.826935,30.899395"
东升家园(三期),上海市浦东新区东升家园,"121.604713,31.020880"
锦园坊,上海市浦东新区锦园坊,"121.747398,31.025200"
荷风景庭,上海市浦东新区荷风景庭,"121.807457,30.911144"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
荷风翠庭,上海市浦东新区荷风翠庭,"121.807106,30.910107"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
清风雅苑,浙江省衢州市龙游县清风雅苑,"119.169853,29.017574"
云树欣居,上海市浦东新区云树欣居,"121.803635,30.898594"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
云帆佳苑,上海市浦东新区云帆佳苑,"121.818573,30.897730"
云松翠庭,上海市浦东新区云松翠庭,"121.811264,30.898205"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
荷风景庭,上海市浦东新区荷风景庭,"121.807457,30.911144"
云树仁居,上海市浦东新区云树仁居,"121.801361,30.898569"
汇民锦苑,上海市浦东新区汇民锦苑,"121.755178,30.974264"
惠东路300弄,上海市浦东新区惠东路300弄,"121.770191,31.043746"
听潮四村,上海市浦东新区听潮四村,"121.742966,31.047499"
海燕二村,上海市浦东新区海燕二村,"121.737877,31.041164"
绿缘新村,上海市浦东新区绿缘新村,"121.761986,31.037413"
绿缘新村,上海市浦东新区绿缘新村,"121.761986,31.037413"
运通路728弄,上海市浦东新区运通路728弄,"121.702827,31.203226"
听潮二村,上海市浦东新区听潮二村,"121.745613,31.050718"
丽泽梅傲苑,上海市浦东新区丽泽梅傲苑,"121.873428,30.977364"
云帆佳苑,上海市浦东新区云帆佳苑,"121.818573,30.897730"
听潮二村,上海市浦东新区听潮二村,"121.745613,31.050718"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
蓝色城邦(公寓),上海市浦东新区蓝色城邦,"121.811394,30.900974"
临港海滨国际花园,上海市浦东新区临港海滨国际花园,"121.857941,30.867567"
听潮二村,上海市浦东新区听潮二村,"121.745613,31.050718"
惠康苑,上海市浦东新区惠康苑,"121.565742,31.147806"
凯德新视界(一期),上海市浦东新区凯德新视界,"121.808937,30.961933"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
惠康苑,上海市浦东新区惠康苑,"121.565742,31.147806"
惠康苑,上海市浦东新区惠康苑,"121.565742,31.147806"
欣欣苑小区,河北省邢台市巨鹿县欣欣苑小区,"115.037170,37.234150"
公益路东苑,福建省福州市鼓楼区公益路东苑(西门),"119.300598,26.095394"
听潮二村,上海市浦东新区听潮二村,"121.745613,31.050718"
南粮新村,上海市浦东新区南粮新村,"121.761162,31.048147"
丽泽梅傲苑,上海市浦东新区丽泽梅傲苑,"121.873428,30.977364"
宁怡苑,上海市浦东新区宁怡苑,"121.611534,31.138317"
龙源星城,上海市浦东新区龙源星城,"121.783920,31.046459"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
万达广场(周浦),广东省广州市荔湾区万达,"113.250107,23.147978"
三墩花苑,上海市浦东新区三墩花苑,"121.753815,30.993134"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
禹洲商业广场,福建省泉州市惠安县禹洲商业广场,"118.774129,25.005283"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
丽泽菊清苑,河北省保定市清苑区,"115.489880,38.765270"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
欣松苑,上海市浦东新区欣松苑,"121.700035,31.023359"
欣梅苑,上海市浦东新区欣梅苑,"121.701752,31.025724"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
海燕大厦,重庆市丰都县海燕大楼,"107.733231,29.871355"
永达城市公寓,上海市浦东新区永达城市公寓,"121.693199,31.186043"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
欣兰苑,上海市浦东新区欣兰苑,"121.701920,31.022907"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
欣松苑,上海市浦东新区欣松苑,"121.700035,31.023359"
云松华庭,上海市浦东新区云松华庭,"121.807457,30.899048"
书院一号公寓,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
海芦镜湖苑,安徽省芜湖市镜湖区,"118.385133,31.340560"
云树仁居,上海市浦东新区云树仁居,"121.801361,30.898569"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
丽泽菊清苑,河北省保定市清苑区,"115.489880,38.765270"
云松翠庭,上海市浦东新区云松翠庭,"121.811264,30.898205"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
云树仁居,上海市浦东新区云树仁居,"121.801361,30.898569"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
云锦雅苑,上海市浦东新区云锦雅苑,"121.822105,30.897701"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽梅傲苑,上海市浦东新区丽泽梅傲苑,"121.873428,30.977364"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
丽泽菊清苑,河北省保定市清苑区,"115.489880,38.765270"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
丽泽菊清苑,河北省保定市清苑区,"115.489880,38.765270"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
丽泽菊清苑,河北省保定市清苑区,"115.489880,38.765270"
清风雅苑,浙江省衢州市龙游县清风雅苑,"119.169853,29.017574"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新川路742弄,上海市浦东新区新川路742弄,"121.691711,31.190962"
东方城市花园(二期),海南省东方市,"108.651829,19.095187"
泥城路12弄,上海市浦东新区泥城路12弄,"121.830159,30.903344"
泥城路12弄,上海市浦东新区泥城路12弄,"121.830159,30.903344"
丹桂佳苑,湖南省岳阳市岳阳楼区怡禾丹桂佳苑,"113.134895,29.378847"
艺泰安邦,山东省泰安市,"117.086963,36.201784"
泥城路12弄,上海市浦东新区泥城路12弄,"121.830159,30.903344"
东方听潮豪园,海南省东方市,"108.651829,19.095187"
新育公寓,上海市浦东新区新育公寓,"121.582062,31.115736"
爱家亚洲花园,上海市浦东新区爱家亚洲花园,"121.535881,31.199478"
上海绿城,上海市浦东新区上海绿城,"121.533275,31.205119"
云锦雅苑,上海市浦东新区云锦雅苑,"121.822105,30.897701"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
万祥馨苑,上海市浦东新区万祥馨苑,"121.817528,30.967752"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
祥安竹苑,上海市浦东新区祥安竹苑,"121.815048,30.961449"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
丽泽梅傲苑,上海市浦东新区丽泽梅傲苑,"121.873428,30.977364"
云帆名苑,上海市浦东新区云帆名苑,"121.818558,30.899387"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
万祥馨苑,上海市浦东新区万祥馨苑,"121.817528,30.967752"
祥安菊苑,上海市浦东新区祥安菊苑,"121.813492,30.962132"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
祥安菊苑,上海市浦东新区祥安菊苑,"121.813492,30.962132"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
万祥馨苑,上海市浦东新区万祥馨苑,"121.817528,30.967752"
云帆佳苑,上海市浦东新区云帆佳苑,"121.818573,30.897730"
云锦新苑,上海市浦东新区云锦新苑,"121.825600,30.897806"
汇民锦苑,上海市浦东新区汇民锦苑,"121.755178,30.974264"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
祥安梅苑,上海市浦东新区祥安梅苑,"121.814018,30.959505"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
云锦名苑,上海市浦东新区云锦名苑,"121.824234,30.899065"
丽泽梅傲苑,上海市浦东新区丽泽梅傲苑,"121.873428,30.977364"
丽泽梅傲苑,上海市浦东新区丽泽梅傲苑,"121.873428,30.977364"
丽泽荷亭苑,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
蓝色城邦(公寓),上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),上海市浦东新区蓝色城邦,"121.811394,30.900974"
城中花园,贵州省遵义市凤冈县城中花园,"107.718820,27.961396"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
云锦雅苑,上海市浦东新区云锦雅苑,"121.822105,30.897701"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
新芦苑,上海市浦东新区新芦苑,"121.851799,30.874800"
环球翡翠湾花园(公寓),上海市浦东新区环球翡翠湾花园,"121.533821,31.154081"
美芦苑,上海市浦东新区美芦苑,"121.837624,30.889793"
云锦雅苑,上海市浦东新区云锦雅苑,"121.822105,30.897701"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
德盈佳园,上海市浦东新区德盈佳园,"121.799492,31.058006"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
桃李园小区,上海市浦东新区桃李园小区,"121.755859,31.113161"
泥城苑,上海市浦东新区泥城苑,"121.831535,30.903568"
东港花苑三村,辽宁省丹东市东港市东港花苑,"124.165109,39.864251"
东港花苑三村,辽宁省丹东市东港市东港花苑,"124.165109,39.864251"
艺泰安邦,山东省泰安市,"117.086963,36.201784"
保康大厦,湖北省襄阳市保康县,"111.261308,31.878310"
锦绣华庭,四川省宜宾市江安县锦绣华庭,"105.058800,28.727295"
汇丽苑,上海市浦东新区汇丽苑,"121.568611,31.114466"
蓝色城邦(公寓),上海市浦东新区蓝色城邦,"121.811394,30.900974"
当代清水园,上海市浦东新区当代·清水园,"121.559020,31.230019"
仁恒河滨城(三期),上海市浦东新区仁恒河滨城,"121.562933,31.229737"
山水国际,青海省西宁市城中区山水国际,"101.771553,36.616589"
陆家嘴国际华城,上海市浦东新区陆家嘴国际华城,"121.534332,31.233578"
南湾新村,香港特别行政区香港特别行政区南區南湾新村,"114.205833,22.235998"
阳光国际公寓,福建省泉州市晋江市阳光楼,"118.591270,24.812222"
云帆花苑,浙江省金华市东阳市云帆花园,"120.235519,29.267752"
丽泽兰馨苑,上海市浦东新区丽泽兰馨苑,"121.872772,30.975086"
万科金色里程(别墅),上海市浦东新区万科金色里程,"121.516617,31.192688"
新舒苑,甘肃省平凉市崆峒区新舒苑,"106.661156,35.545414"
东郊华庭,上海市浦东新区东郊华庭,"121.624168,31.217125"
九间堂,上海市青浦区九间堂,"121.051430,31.111643"
凌四小区,上海市浦东新区凌四小区,"121.546379,31.247564"
齐二小区,上海市浦东新区齐二小区,"121.513329,31.183537"
航运小区,广西壮族自治区南宁市西乡塘区航运小区,"108.281212,22.820000"
临河小区,内蒙古自治区巴彦淖尔市临河区,"107.363536,40.750969"
罗山三村,河南省信阳市罗山县,"114.512838,32.204360"
上钢三村,上海市浦东新区上钢三村,"121.491951,31.174654"
上南六村,上海市浦东新区上南六村,"121.501816,31.176197"
宁阳小区,山东省泰安市宁阳县,"116.805578,35.758919"
宁阳小区,山东省泰安市宁阳县,"116.805578,35.758919"
德州四村,山东省德州市,"116.359244,37.436492"
胶南小区,上海市浦东新区胶南小区,"121.510445,31.200117"
阳光苑民同路10弄40弄,上海市浦东新区阳光苑,"121.628769,31.261593"
港机新村,上海市浦东新区港机新村,"121.508125,31.191181"
上南六村,上海市浦东新区上南六村,"121.501816,31.176197"
上钢七村,上海市浦东新区上钢七村,"121.487038,31.172720"
西三里桥路9弄,上海市浦东新区西三里桥路9弄,"121.506384,31.199787"
德州七村,山东省德州市,"116.359244,37.436492"
昌四小区,上海市浦东新区昌四小区,"121.514893,31.176691"
罗山三村,河南省信阳市罗山县,"114.512838,32.204360"
德州二村,山东省德州市,"116.359244,37.436492"
上南十村,上海市徐汇区上南十村,"121.420753,31.175236"
济阳三村,山东省济南市济阳区,"117.173722,36.978299"
宁阳小区,山东省泰安市宁阳县,"116.805578,35.758919"
昌七小区,上海市浦东新区昌七小区,"121.515991,31.175043"
绿川新苑,上海市浦东新区绿川新苑,"121.548073,31.172768"
临沂八村,山东省临沂市,"118.356464,35.103771"
上钢六村,上海市浦东新区上钢六村,"121.490784,31.171833"
南新二村,上海市浦东新区南新二村,"121.544159,31.169277"
由由四村,上海市浦东新区由由四村,"121.534241,31.188936"
微山二村,山东省济宁市微山县,"117.129188,34.806657"
济阳三村,山东省济南市济阳区,"117.173722,36.978299"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
临沂二村,山东省临沂市,"118.356464,35.103771"
联丰新苑,上海市浦东新区联丰新苑,"121.507149,31.154528"
昌四小区,上海市浦东新区昌四小区,"121.514893,31.176691"
南码头路193弄,上海市浦东新区南码头路一九三弄,"121.508606,31.198675"
东南二村,上海市浦东新区东南二村,"121.583229,31.111128"
沂南路54弄,上海市浦东新区沂南路54弄,"121.509337,31.198230"
东三小区,上海市浦东新区东三小区,"121.602341,31.266153"
绿川新苑,上海市浦东新区绿川新苑,"121.548073,31.172768"
临沂一村,山东省临沂市沂水县一村,"118.715409,35.952981"
金杨新村三街坊,上海市浦东新区金杨新村三街坊,"121.578026,31.250372"
海防新村,浙江省舟山市普陀区海防新村,"122.380020,29.990473"
园西二居,上海市浦东新区园西二居,"121.694717,31.189350"
六里二村,上海市浦东新区六里二村,"121.518494,31.186228"
河滨小区,浙江省嘉兴市海盐县河滨小区,"120.937080,30.509123"
